"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Alzheimer disease","240/369",2.13867084161315e-07,6.22158790287462e-06,0,0,1.73500551747506,26.6460605247794,"APP;ARAF;CALML3;CALML4;PSMD8;PSMD9;PSMD6;FRAT2;AKT3;PSMD3;AKT1;CSNK2A1;CSNK1E;ATG14;ATG13;DKK1;DKK2;COX7A2L;CSNK2B;UQCRC1;VDAC3;VDAC2;ULK1;VDAC1;UQCRC2;PIK3R3;PIK3R1;APH1A;COX1;APOE;WNT10B;FZD3;WNT10A;XBP1;FZD2;FZD5;FZD4;FZD7;INSR;FZD6;EIF2AK2;FZD8;GRIN2C;GRIN2B;GRIN2D;NOX4;CALM1;CALM2;ATG2B;COX7B;COX7C;TUBA1B;CASP12;PPP3CC;TUBA1A;HRAS;APC2;COX8A;MME;WNT9A;BACE2;PLCB3;TUBB2B;PSMA4;TUBB2A;IL1B;MAPT;PLCB1;PLCB2;WNT8B;UQCR11;UQCR10;COX5B;PTGS2;COX5A;RELA;PSMB6;PSMB7;ATP5F1A;NRAS;PSMB4;ATP5F1B;PSMB5;PSMB3;PSMB1;BID;ATP5PF;ATP5PD;ATP5PB;CSNK1A1;WNT7A;ATP5F1C;COX6C;ATP5F1D;TUBB4A;ATP5F1E;PSMC5;PSMC3;PSMC1;NDUFAB1;PSMC2;ATP5PO;FAS;CDK5R1;CHRM3;NDUFA13;CSF1;NDUFA11;IRS1;NDUFA12;NDUFA10;COX6A1;TNF;TUBB6;TUBB3;CAPN2;CAPN1;MAP3K5;MAP2K2;WNT5B;WNT5A;ADAM10;CYBB;SDHC;SDHD;COX6B2;SDHA;SDHB;TUBA4A;COX6B1;ADAM17;PPIF;ND1;ND2;ND5;PPID;ND4;ND6;RTN3;PSMD12;NDUFB10;UQCRB;NDUFB11;PSMD13;ATP5MC2;ITPR1;ATP5MC3;ITPR2;LPL;COX7A2;ITPR3;CACNA1C;PSEN1;CACNA1F;KLC1;AGER;COX7A1;RTN4;UQCRH;ATP5MC1;KLC4;WNT6;KLC3;KLC2;DVL1;DVL2;CYC1;NDUFV3;NDUFV2;NDUFV1;WNT4;NFKB1;IL6;UQCRQ;CYCS;CYTB;MCU;WNT2B;COX4I1;COX4I2;ATP2A3;ATP2A2;PIK3CD;PIK3CB;CASP9;CASP7;CASP8;CASP3;UQCRFS1;NOS1;APAF1;CHUK;NDUFC2;NDUFC1;TRAF2;WIPI1;AXIN2;WIPI2;TNFRSF1A;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;GAPDH;SLC25A4;BECN1;NDUFB9;NDUFB8;NDUFB7;LRP1;NDUFB6;NDUFB5;NDUFB4;NDUFB3;LRP5;NDUFB2;AMBRA1;HSD17B10;LRP6;MAPK9;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NOS2;BAD;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;MTOR;MAPK10;KRAS"
"Pathways of neurodegeneration","301/475",2.69529094159809e-07,7.18744251092825e-06,0,0,1.61526753707429,24.4334889601162,"APP;ARAF;CALML3;UBE2L6;CALML4;UBE2L3;PSMD8;PSMD9;PSMD6;FRAT2;PSMD3;GABARAPL2;GABARAPL1;CSNK2A1;PRKCB;PRKCA;CSNK1E;ATG14;ATG13;DKK1;DKK2;COX7A2L;CSNK2B;UQCRC1;VDAC3;VDAC2;ULK1;VDAC1;UQCRC2;UBA52;STX1A;GABARAP;UBE2J1;COX1;SPTBN2;WNT10B;TRAP1;DNAH11;FZD3;WNT10A;XBP1;FZD2;DNAH17;FZD5;FZD4;FZD7;FZD6;FZD8;GRIN2C;GRIN2B;GRIN2D;NOX4;CALM1;CALM2;ATG2B;RYR1;RYR2;COX7B;HIP1;COX7C;TUBA1B;ACTR1A;UCHL1;CASP12;TUBA1A;ACTR1B;PPP3CC;NEFL;NEFM;NEFH;HRAS;RAB8A;APC2;COX8A;WNT9A;TOMM40L;PLCB3;TUBB2B;PSMA4;TUBB2A;IL1B;HAP1;MAPT;PLCB1;PLCB2;PRKN;TOMM40;DERL1;WNT8B;UQCR11;UQCR10;PTGS2;COX5B;TANK;COX5A;RELA;PSMB6;PSMB7;NRAS;PSMB4;ATP5F1A;PSMB5;ATP5F1B;PSMB3;PSMB1;MFN1;MFN2;BID;ATP5PF;ATP5PD;CSNK1A1;ATP5PB;SEPTIN5;WNT7A;ATP5F1C;COX6C;TUBB4A;ATP5F1D;ATP5F1E;FIG4;PSMC5;PSMC3;PSMC1;PSMC2;NDUFAB1;ATP5PO;FAS;TARDBP;ACTR10;CDK5R1;CHRM3;NDUFA13;CSF1;NDUFA11;NDUFA12;NDUFA10;PARK7;COX6A1;TNF;TUBB6;TUBB3;CAPN2;CAPN1;MAP3K5;MAP2K3;MAP2K2;WNT5B;WNT5A;CYBB;SDHC;SDHD;COX6B2;SDHA;SDHB;TUBA4A;COX6B1;PPIF;ND1;ND2;ND5;PPID;ND4;ND6;PSMD12;UQCRB;NDUFB10;UBA7;NDUFB11;PSMD13;ITPR1;ATP5MC2;ITPR2;ATP5MC3;HTRA2;ITPR3;COX7A2;CACNA1C;PSEN1;KLC1;CACNA1F;AGER;COX7A1;UQCRH;ATP5MC1;ATXN3;KLC4;WNT6;ATXN2;KLC3;KLC2;DVL1;UBC;DVL2;CYC1;NDUFV3;NDUFV2;NDUFV1;GRIA3;GRIA4;PRPH;WNT4;PRNP;BDNF;FUS;NFKB1;IL6;UQCRQ;DLG4;CHMP2B;CYCS;CYTB;RAB5A;MCU;BCL2L1;WNT2B;COX4I1;LRRK2;COX4I2;ATP2A3;ATP2A2;CASP9;CASP7;CASP8;CASP3;UQCRFS1;NOS1;GPX1;APAF1;TRPC3;GPX3;GPX6;SIGMAR1;GPX8;GPX7;NDUFC2;NDUFC1;TRAF2;WIPI1;WIPI2;AXIN2;TNFRSF1B;TNFRSF1A;NDUFS8;ALS2;NDUFS7;NDUFS6;NDUFS5;CAT;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;SLC25A4;DNAH3;BECN1;NDUFB9;RAB1A;DCTN5;NDUFB8;CAMK2D;DNAH1;NDUFB7;DNAH2;NDUFB6;NDUFB5;DNAH8;NDUFB4;DCTN4;NDUFB3;DCTN3;LRP5;NDUFB2;AMBRA1;HSD17B10;LRP6;MAPK9;BAK1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NOS2;NDUFA4;BAD;NDUFA3;ADRM1;NDUFA2;NDUFA1;MAPK14;MTOR;MAPK13;SOD1;MAPK10;MAPK11;PINK1;CCS;VAPB;BAX;KRAS"
"AGE-RAGE signaling pathway in diabetic complications","76/100",6.48322958261184e-07,1.5958718972583e-05,0,0,2.93841632758509,41.8691324515275,"SERPINE1;PIK3CD;PIK3CB;TNF;ICAM1;THBD;CCND1;CASP3;AKT3;PIM1;AKT1;PLCE1;HRAS;EDN1;PRKCB;PRKCE;MMP2;PRKCD;CYBB;PRKCA;F3;TGFBR1;TGFBR2;PLCB3;COL4A2;COL4A1;COL4A4;IL1B;COL4A3;COL4A6;PLCB1;PLCB2;PIK3R3;PIK3R1;AGER;PRKCZ;FOXO1;RELA;CDC42;MAPK9;NRAS;CCL2;SMAD2;STAT5A;EGR1;STAT5B;JUN;SMAD3;TGFB1;VCAM1;TGFB3;NOS3;STAT1;STAT3;FN1;VEGFB;NFATC1;VEGFD;MAPK14;NFKB1;AGT;MAPK13;VEGFA;COL1A1;MAPK10;MAPK11;IL6;COL3A1;COL1A2;CDK4;NOX4;BAX;KRAS;PLCD3;PLCD4;PLCD1"
"ECM-receptor interaction","68/88",8.58282480129582e-07,1.96178852601047e-05,0,0,3.15380445304937,44.0533894316821,"ITGB1;ITGB5;ITGB4;LAMC3;ITGB3;ITGA2B;TNC;DMP1;LAMC2;LAMC1;IBSP;DAG1;ITGB8;ITGAV;ITGB7;CD36;ITGB6;ITGA4;GP1BB;ITGA3;ITGA2;ITGA1;NPNT;HSPG2;COL4A2;COL4A1;COL4A4;COL6A2;COL4A3;COL6A1;COL4A6;COL6A3;ITGA7;COL6A6;CD47;ITGA5;FREM1;CD44;FREM2;ITGA9;LAMA5;TNXB;LAMA2;LAMA1;LAMA4;LAMA3;HMMR;THBS2;THBS1;THBS4;THBS3;VTN;RELN;SV2C;SV2A;SPP1;LAMB3;FN1;LAMB1;DSPP;COL1A1;COL1A2;FRAS1;ITGA10;ITGA11;SDC1;COL9A2;AGRN"
"Glyoxylate and dicarboxylate metabolism","28/30",1.18237511873701e-06,2.52240025330562e-05,0,0,12.9604628736741,176.884207169792,"ACSS2;GLDC;SHMT2;SHMT1;ACAT2;ACAT1;GCSH;MCEE;AFMID;HYI;MMUT;ACSS1;GLUL;HAO2;MDH1;MDH2;GLYCTK;AMT;HOGA1;CS;GRHPR;PCCA;CAT;PCCB;PGP;ACO1;ACO2;DLD"
"Glutathione metabolism","47/57",1.55201361350893e-06,3.10402722701786e-05,0,0,4.35536663124336,58.2571983669344,"GSTP1;MGST3;ODC1;MGST1;GSTT2;GSTT1;OPLAH;HPGDS;ANPEP;CHAC2;GGT1;GGT5;GSTM4;GSTK1;GGT7;GSTM2;RRM1;GPX1;GGT6;GSTM1;RRM2;GPX4;GSTO2;GPX3;GSTO1;GPX6;GSS;IDH1;GSR;IDH2;GPX8;GPX7;PGD;PRDX6;GGCT;GCLC;GSTA5;NAT8;RRM2B;GSTA4;GSTA3;GSTA2;GSTA1;SMS;LAP3;GCLM;GSTM5"
"Human papillomavirus infection","213/331",3.10826192099932e-06,5.8508459689399e-05,0,0,1.68084670876913,21.3155682100757,"RB1;PATJ;MAML2;MAML1;PPP2R2A;RBPJ;CREB3L3;CREB3L4;AKT3;CREB3L2;AKT1;ATP6V1E1;PRKACA;HES7;HES6;ATP6V1G1;PRKCI;PARD3;TBPL1;MAML3;ATP6V0D1;ATP6V0D2;LLGL1;PIK3R3;PIK3R1;PRKCZ;TERT;ATP6V0A2;ATP6V0A4;ATP6V1C1;ATP6V0A1;ATP6V1C2;WNT10B;FZD3;WNT10A;FZD2;FZD5;FZD4;FZD7;FZD6;FN1;EIF2AK2;FZD8;COL1A1;COL1A2;GRB2;COL9A2;CDKN1A;LFNG;HEY2;IKBKG;HRAS;IKBKE;JAK1;APC2;ATP6V0B;TUBG2;TYK2;WNT9A;TUBG1;ATP6V0C;TLR3;PTGER4;TNXB;WNT8B;RFNG;PTGS2;RELA;NRAS;RELN;SPP1;ATP6V0E2;ATP6V1G3;BCAP31;CSNK1A1;STAT1;STAT2;WNT7A;VEGFA;HEYL;PSMC1;FAS;CRB3;ITGA2B;TNC;TNF;CCND3;CCND2;CCND1;IBSP;IFNAR2;PDGFRB;MAP2K2;WNT5B;WNT5A;TSC2;TSC1;TICAM1;CCNE2;COL4A2;CCNE1;COL4A1;COL4A4;COL4A3;COL4A6;IFNAR1;ATP6V1A;NOTCH3;TCF7;UBR4;PSEN1;FOXO1;VTN;WNT6;DVL1;DVL2;EIF4EBP1;ATP6V1H;ATP6V1D;ATP6V1F;WNT4;ISG15;NFKB1;CDK6;DLG2;CDK4;RHEB;ITGA10;CDK2;ITGA11;PALS1;ITGB1;WNT2B;ITGB5;ITGB4;LAMC3;ITGB3;TRADD;PIK3CD;CHD4;LAMC2;LAMC1;PIK3CB;TCIRG1;CASP8;CASP3;ITGB8;ITGAV;ITGB7;ITGB6;ATP6AP1;CHUK;ITGA4;ITGA3;ITGA2;ITGA1;PPP2R5B;PPP2R5A;AXIN2;PPP2R5C;TNFRSF1A;CCNA2;RBL2;CREB3;CREB1;PKM;RBL1;TRAF3;COL6A2;IRF1;COL6A1;ATP6V1B2;COL6A3;ITGA7;COL6A6;ITGA5;SOS1;SOS2;IRF9;ATP6V1B1;CREB5;ITGA9;LAMA5;HDAC2;LAMA2;HDAC1;LAMA1;LAMA4;LAMA3;PARD6G;THBS2;THBS1;THBS4;THBS3;CDC42;PARD6B;PARD6A;E2F1;BAK1;TCF7L2;TCF7L1;LAMB3;BAD;EGF;MX2;MX1;LAMB1;MTOR;PPP2R2C;PPP2R2B;RPS6KB2;BAX;KRAS"
"Small cell lung cancer","69/92",4.81536233973727e-06,8.56064415953293e-05,0,0,2.78216671507406,34.0640125596288,"ITGB1;RB1;CDKN1A;LAMC3;ITGA2B;PIK3CD;LAMC2;LAMC1;PIK3CB;CKS1B;CASP9;CCND1;CASP3;MYC;AKT3;AKT1;ITGAV;IKBKG;SKP2;APAF1;CHUK;ITGA3;ITGA2;TRAF2;TRAF1;CCNE2;COL4A2;TRAF4;CCNE1;COL4A1;TRAF3;COL4A4;COL4A3;COL4A6;BIRC2;BIRC3;LAMA5;LAMA2;LAMA1;LAMA4;LAMA3;PIK3R3;PIK3R1;PTGS2;FHIT;RELA;RXRB;RXRA;E2F1;E2F2;E2F3;BAK1;RXRG;CDKN2B;GADD45B;LAMB3;NOS2;GADD45A;FN1;LAMB1;NFKB1;GADD45G;NFKBIA;CDK6;CDK4;CDK2;BAX;CYCS;BCL2L1"
"Amyotrophic lateral sclerosis","231/364",5.44563337297896e-06,9.17159304922772e-05,0,0,1.61760183876629,19.6064609235309,"NUP107;ACTB;GLE1;PSMD8;PSMD9;PSMD6;PSMD3;NUP214;GABARAPL2;GABARAPL1;NUP210;ATG14;ATG13;NUP93;COX7A2L;NUP210L;UQCRC1;PFN4;ULK1;VDAC1;UQCRC2;PFN1;PFN3;PFN2;NUP205;GABARAP;COX1;DNAH11;XBP1;DNAH17;GRIN2C;GRIN2B;GRIN2D;SETX;ATG2B;COX7B;COX7C;ACTR1A;TUBA1B;ACTR1B;CASP12;PPP3CC;TUBA1A;NEFL;NEFM;NEFH;RAB8A;COX8A;SEC13;TOMM40L;TUBB2B;PSMA4;TUBB2A;HAP1;PRKN;TOMM40;DERL1;UQCR11;UQCR10;COX5B;COX5A;TANK;PSMB6;PSMB7;ATP5F1A;PSMB4;ATP5F1B;PSMB5;PSMB3;PSMB1;BID;ATP5PF;ATP5PD;ATP5PB;ATP5F1C;COX6C;ATP5F1D;TUBB4A;ATP5F1E;FIG4;PSMC5;PSMC3;PSMC1;NDUFAB1;PSMC2;ATP5PO;TARDBP;ACTR10;NDUFA13;NDUFA11;NUP188;NDUFA12;NDUFA10;COX6A1;TNF;TUBB6;TUBB3;MAP3K5;MAP2K3;ANXA11;SDHC;SDHD;COX6B2;SDHA;SDHB;TUBA4A;COX6B1;SRSF3;MATR3;ND1;ND2;SRSF7;ND5;ND4;ND6;PSMD12;NDUFB10;UQCRB;NDUFB11;PSMD13;ATP5MC2;SLC1A2;ATP5MC3;COX7A2;ITPR3;KLC1;COX7A1;NUP160;UQCRH;ATP5MC1;KLC4;ATXN2;KLC3;KLC2;CYC1;NDUFV3;NDUFV2;NDUFV1;PRPH;NUP155;FUS;ALYREF;CHCHD10;UQCRQ;CHMP2B;CYCS;CYTB;RAB5A;MCU;BCL2L1;NXT1;COX4I1;COX4I2;NXT2;CASP9;CASP3;NUP62;CASP1;UQCRFS1;NOS1;GPX1;APAF1;GPX3;GPX6;SIGMAR1;GPX8;GPX7;NDUFC2;NDUFC1;NRG1;TRAF2;WIPI1;WIPI2;TNFRSF1B;TNFRSF1A;NDUFS8;ALS2;NDUFS7;NDUFS6;NDUFS5;CAT;NDUFS4;NDUFS3;NDUFS2;ANG;NDUFS1;DNAH3;BECN1;DCTN5;NDUFB9;RAB1A;DNAH1;NDUFB8;DNAH2;NDUFB7;NDUFB6;DNAH8;NDUFB5;DCTN4;NDUFB4;DCTN3;NDUFB3;NDUFB2;AMBRA1;ERBB4;UBQLN1;HNRNPA1;UBQLN4;NDUFA9;NDUFA8;HNRNPA3;NDUFA7;NDUFA6;NDUFA5;NOS2;BAD;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;MAPK14;MTOR;MAPK13;SOD1;MAPK11;CCS;PINK1;VAPB;BAX;NUP37"
"Propanoate metabolism","30/34",8.41945090196088e-06,0.000134711214431374,0,0,6.94299768518519,81.1286915102437,"ACSS3;ACSS2;ECHS1;ABAT;ACACB;ACAT2;ACAT1;LDHB;LDHA;MCEE;DBT;MLYCD;MMUT;ACSS1;ACADS;HIBCH;BCKDHA;BCKDHB;HADHA;ALDH6A1;SUCLA2;PCCA;ACOX1;EHHADH;PCCB;ECHDC1;SUCLG2;SUCLG1;ACOX3;DLD"
"Parkinson disease","163/249",1.03953923929018e-05,0.000155140635476247,0,0,1.76220220174731,20.2197686734024,"NDUFA13;NDUFA11;NDUFA12;NDUFA10;CALML3;UBE2L6;CALML4;PARK7;COX6A1;UBE2L3;TXN2;PSMD8;PSMD9;PSMD6;TUBB6;TUBB3;PSMD3;PRKACA;MAP3K5;SDHC;SDHD;COX6B2;SDHA;SDHB;TUBA4A;COX6B1;COX7A2L;UQCRC1;VDAC3;PPIF;VDAC2;VDAC1;ND1;UQCRC2;UBA52;ND2;ND5;ND4;ND6;PSMD12;NDUFB10;UBA7;UQCRB;NDUFB11;PSMD13;ATP5MC2;ITPR1;ATP5MC3;HTRA2;ITPR2;COX7A2;ITPR3;KLC1;COX7A1;UQCRH;UBE2J1;ATP5MC1;KLC4;KLC3;KLC2;UBC;COX1;CYC1;NDUFV3;NDUFV2;NDUFV1;TRAP1;XBP1;UQCRQ;CYCS;CYTB;CALM1;CALM2;MCU;BCL2L1;COX7B;COX4I1;LRRK2;COX4I2;COX7C;CASP9;TUBA1B;UCHL1;TUBA1A;CASP3;UQCRFS1;SLC18A1;COX8A;APAF1;DUSP1;NDUFC2;NDUFC1;TUBB2B;PSMA4;TUBB2A;NDUFS8;ADORA2A;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;MAPT;SLC25A5;SLC25A4;PRKN;NDUFB9;CAMK2D;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;UQCR11;UQCR10;COX5B;COX5A;GNAI1;ADCY5;GNAI2;PSMB6;PSMB7;MAPK9;ATP5F1A;PSMB4;ATP5F1B;PSMB5;PSMB3;PSMB1;MFN1;MFN2;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;ADRM1;NDUFA2;SEPTIN5;NDUFA1;ATP5F1C;COX6C;ATP5F1D;TUBB4A;ATP5F1E;MAPK10;PSMC5;PINK1;PSMC3;PSMC1;NDUFAB1;PSMC2;ATP5PO;BAX"
"Citrate cycle (TCA cycle)","27/30",1.0665918688992e-05,0.000155140635476247,0,0,8.3300549609488,95.3662766044853,"DLST;OGDHL;PDHB;IDH3B;DLAT;PCK1;IDH3A;PCK2;PDHA1;MDH1;IDH3G;MDH2;IDH1;IDH2;SDHC;SDHD;SDHA;SDHB;CS;ACLY;SUCLA2;OGDH;SUCLG2;ACO1;SUCLG1;ACO2;DLD"
"Pathogenic Escherichia coli infection","131/197",2.39801878499662e-05,0.000333637396173443,0,0,1.84352928328773,19.611985450507,"CYFIP2;CYFIP1;WIPF1;WIPF3;ARPC5L;CLDN2;CLDN1;TNF;ACTB;PYCARD;TUBB6;BAIAP2L1;TUBB3;TNFSF10;IL1R1;F2R;TUBA4A;CLDN6;CLDN4;CLDN3;NCL;CLDN7;EZR;LPAR1;ACTR3B;IRAK1;MYO6;ABL1;MYH14;NLRP3;NCKAP1L;MYH10;JUN;MYO5A;TNFRSF10B;ARPC4;ARPC5;NFKB1;NFKBIA;IL6;LPAR5;ARPC2;ARPC3;MYO5B;MYO5C;CYCS;TAB1;MYD88;NFKBIB;ITGB1;ARPC1B;TRADD;ARPC1A;WASL;CASP9;TUBA1B;CASP7;TUBA1A;CASP8;CASP3;CLDN23;CASP4;CASP1;NCK2;IKBKG;NCK1;ACTR3;ARHGEF11;ACTR2;CHUK;IL18;TRAF2;FOS;IRAK4;RHOA;TIRAP;TNFRSF1A;CLDN11;CLDN10;TUBB2B;TUBB2A;CLDN15;CTTN;CLDN14;IL1B;CLDN19;CLDN18;HCLS1;MYH9;ARHGEF1;TMBIM6;ARHGEF2;TLR4;GAPDH;RAB1A;ROCK2;SRC;RELA;CDC42;CYTH3;CYTH2;MAPK9;PAK1;CYTH4;GNA12;FYN;BAK1;PAK3;WASF1;PAK2;WASF2;WASF3;SEC24A;BAIAP2;MAPK14;TUBB4A;MAPK13;TJP1;MAPK10;MAPK11;MYO1E;MYO1B;MYO1A;ABI1;FAS;BAX;PTPN6;SEC24D;SEC24C;MYO1F;MYO1G"
"Insulin resistance","77/108",3.21928752432565e-05,0.000429238336576754,0,0,2.30337457923244,23.825566265848,"PYGB;SLC27A1;IRS1;SLC2A1;PIK3CD;SLC2A2;PIK3CB;PYGL;SLC2A4;TNF;GYS2;RPS6KA3;GYS1;RPS6KA6;CREB3L3;CREB3L4;RPS6KA2;AKT3;CREB3L2;MLX;AKT1;CD36;SREBF1;CPT1A;PRKAB2;PRKCB;PDPK1;PRKCE;PRKCD;CPT1B;PRKAB1;TNFRSF1A;CREB3;CREB1;PPP1R3B;PPP1R3E;PPP1R3D;SLC27A6;PRKCQ;TRIB3;SLC27A3;PPARA;SLC27A2;SLC27A4;CREB5;PRKAA1;PRKAA2;PIK3R3;PIK3R1;ACACB;PRKCZ;FOXO1;RELA;SOCS3;MAPK9;PCK1;PPARGC1A;PPARGC1B;PCK2;MLXIP;PTPN1;NOS3;GFPT2;INSR;STAT3;OGA;NR1H3;G6PC1;NFKB1;AGT;MTOR;NFKBIA;MAPK10;MLXIPL;IL6;G6PC3;RPS6KB2"
"p53 signaling pathway","55/73",3.50813201405481e-05,0.000449040897799015,0,0,2.83132983123315,29.0433333759964,"CDKN1A;STEAP3;CD82;GORAB;SERPINE1;BBC3;CASP9;CCND3;CASP8;CCND2;CCND1;SESN3;AIFM2;CASP3;CHEK2;SESN1;CHEK1;SESN2;GTSE1;APAF1;TSC2;SERPINB5;CCNE2;RRM2B;CCNE1;EI24;RCHY1;THBS1;CCNB2;CCNB1;ZMAT3;PERP;PMAIP1;SFN;BID;RPRM;RRM2;GADD45B;SIVA1;CDKN2A;GADD45A;TNFRSF10B;IGF1;GADD45G;CDK6;CDK4;CCNG2;CCNG1;CDK2;CDK1;BAX;CYCS;FAS;MDM4;BCL2L1"
"Chemokine signaling pathway","127/192",4.61114542961503e-05,0.000567525591337234,0,0,1.81421777521476,18.1139651645329,"NCF1;CXCL13;CXCL14;CXCL16;PREX1;AKT3;AKT1;PRKACA;PRKCB;PRKCD;TIAM1;ADCY9;PARD3;ELMO1;SHC4;SHC2;SHC1;PIK3R3;PIK3R1;FOXO3;PRKCZ;PIK3R6;PIK3R5;RAP1B;GRK3;GRK2;GRK5;GRK6;CCR10;CCR1;LYN;STAT5B;XCR1;PPBP;GNG12;GNG11;NFKB1;NFKBIA;CXCL10;CXCL12;GNB1;GNB4;GRB2;NFKBIB;ITK;CXCL9;GSK3A;PIK3CD;ARRB1;CXCL1;ARRB2;PIK3CB;CXCL3;CXCL2;CX3CL1;CXCL5;PIK3CG;GNGT2;CCR9;RAC2;CCR8;RAC3;CCR7;IKBKG;CCR5;CCR4;HRAS;JAK3;CCR3;CCR2;VAV3;CHUK;RHOA;VAV1;FGR;HCK;PLCB3;XCL1;DOCK2;PLCB1;SOS1;PLCB2;SOS2;CX3CR1;CCL11;ROCK2;SRC;ADCY4;CXCR5;WAS;ADCY3;CXCR4;ADCY1;CXCR6;ADCY7;ADCY6;GNAI1;RELA;ADCY5;GNAI2;CDC42;NRAS;PAK1;CCL8;GNG2;CCL7;GNG4;CCL5;CXCR3;CCL4;CXCR2;CCL3;CCL2;GNG8;PTK2B;CCL1;CCL17;CCL24;CCL22;BAD;CCL20;STAT1;STAT2;STAT3;KRAS;CCL28;PF4"
"Regulation of actin cytoskeleton","142/218",5.40467514336361e-05,0.000613933317565136,0,0,1.73543086460301,17.0517555704709,"CYFIP2;CYFIP1;CHRM3;MYLK2;ITGA2B;ARAF;ARPC5L;FGF1;FGF2;ACTB;MYLK3;MYLK;FGF7;FGF9;CFL1;PIP4K2A;PIP4K2B;PIP4K2C;PDGFRB;PDGFRA;MAP2K2;ACTN1;F2R;TIAM1;PFN4;EZR;PFN1;MYL9;PFN3;VCL;PFN2;LPAR1;PDGFB;PDGFA;PIK3R3;IQGAP1;PIK3R1;IQGAP2;ACTR3B;IQGAP3;MYL12A;KNG1;SCIN;RRAS;PDGFD;PIP5K1A;MYH14;NCKAP1L;PIP5K1B;PIP5K1C;MYH10;RDX;FN1;MSN;ARPC4;ARPC5;GNG12;SSH2;SSH3;SSH1;MYLPF;DIAPH2;CXCL12;DIAPH3;LPAR5;ARPC2;ARPC3;ITGA10;FGF18;ITGA11;FGFR4;FGFR3;FGFR2;FGFR1;ITGB1;ITGAM;ITGB5;ITGB4;ARPC1B;ITGB3;ARPC1A;ITGB2;PIK3CD;WASL;ITGAE;PIK3CB;ITGAL;TMSB4X;RAC2;BDKRB2;ITGAX;RAC3;ITGB8;ITGAV;ITGB7;ITGB6;HRAS;GIT1;APC2;VAV3;ACTR3;ACTR2;PPP1R12A;ITGA4;ITGA3;ITGA2;INSRR;ITGA1;RRAS2;RHOA;VAV1;ITGAD;ARHGEF4;ITGA7;MYH9;ARHGEF1;ITGA5;ARHGEF7;SOS1;PPP1R12C;SOS2;ARHGEF6;ITGA9;ROCK2;SRC;CXCR4;FGD1;CDC42;NRAS;PAK1;GNA12;PAK6;PAK3;WASF1;PAK2;WASF2;GSN;EGF;LIMK2;LIMK1;BAIAP2;KRAS"
"Focal adhesion","132/201",5.52402049735327e-05,0.000613933317565136,0,0,1.77645075767201,17.4160026123057,"MYLK2;ITGA2B;TNC;ELK1;ACTB;MYLK3;MYLK;CCND3;CCND2;CCND1;IBSP;AKT3;KDR;CAPN2;AKT1;PDGFRB;PDGFRA;PRKCB;ACTN1;HGF;PRKCA;PGF;COL4A2;COL4A1;COL4A4;COL4A3;COL4A6;TLN2;MYL9;VCL;SHC4;SHC2;SHC1;PDGFB;PDGFA;PIK3R3;PIK3R1;MYL12A;RAP1B;VTN;PDGFD;PIP5K1A;PIP5K1B;PIP5K1C;VASP;JUN;CAV3;FN1;IGF1;COL1A1;MYLPF;COL1A2;PARVG;ITGA10;ITGA11;GRB2;COL9A2;ITGB1;FLT1;ITGB5;ITGB4;LAMC3;FLT4;ITGB3;ILK;PIK3CD;LAMC2;LAMC1;PIK3CB;ARHGAP5;RAC2;RAC3;ITGB8;ITGAV;ITGB7;ITGB6;HRAS;VAV3;PPP1R12A;ITGA4;ITGA3;PDPK1;ITGA2;ITGA1;RHOA;VAV1;COL6A2;COL6A1;RAPGEF1;COL6A3;ITGA7;COL6A6;ITGA5;SOS1;PPP1R12C;SOS2;BIRC2;BIRC3;ITGA9;LAMA5;TNXB;LAMA2;LAMA1;ROCK2;SRC;LAMA4;LAMA3;THBS2;THBS1;THBS4;THBS3;CDC42;MAPK9;PAK1;RELN;SPP1;FLNA;PAK6;FLNB;FYN;FLNC;PAK3;PAK2;LAMB3;BAD;EGF;VEGFB;VEGFD;LAMB1;VEGFA;MAPK10;ZYX"
"Fatty acid elongation","24/27",5.56377069043404e-05,0.000613933317565136,0,0,7.40235203393098,72.5182476475988,"ELOVL1;HACD1;ACAA2;ECHS1;ACOT7;MECR;ELOVL5;ELOVL2;TECR;ELOVL6;HSD17B12;ELOVL7;HACD3;HACD2;HACD4;HADHB;HADHA;ACOT2;PPT1;THEM4;ACOT1;PPT2;HADH;ACOT4"
