"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"translational elongation (GO:0006414)","85/104",2.24327191114395e-10,1.2248264634846e-07,0,0,4.15701694846055,92.3602511067432,"GFM1;MRPS15;MRPS16;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPL37;MRPL34;MRPL35;MRPL32;MRPL33;EEF1B2;MRPL4;MRPL41;MRPL3;MRPL42;MRPL2;EEF2K;MRPL1;RACK1;MRPL9;CHCHD1;MRPS28;TSFM;MRPS26;MRPS24;MRPS25;MRPS22;MRPS23;MRPL49;MRPS18A;MRPS2;MRPS21;MRPL47;MRPL48;GTPBP2;MRPL45;MRPS7;GTPBP1;MRPL46;MRPS6;MRPL43;MRPS5;MRPS18C;TUFM;MRPL44;OXA1L;MRPL50;MRPS9;MRPL51;AURKAIP1;DAP3;MRPS35;MRPS36;MRPL18;MRPS34;MRPL16;MRPS31;MRPL17;MRPL14;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL10;MRPL54;MRPL11;MRPL55;MRPL20;EEFSEC;GADD45GIP1;PTCD3;MRPL27;MRPL28;ERAL1;EEF2;MRPL21;MRPL22;MRPL30;MTRES1"
"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)","38/39",2.99091122445986e-10,1.49695106784216e-07,0,0,35.2160231660232,772.296996075627,"NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS4;NDUFS3;NDUFS2;NDUFS1;NDUFAF1"
"translational termination (GO:0006415)","79/96",5.10673382613394e-10,2.35931102767388e-07,0,0,4.31650923767123,92.3529708256824,"MRPS15;MRPS16;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPL37;APEH;MRPL34;MRPL35;MRPL32;MRPL33;MRPL4;MRPL41;MRPL3;MRPL42;MRPL2;MTRF1;MRPL1;MRPL9;CHCHD1;MRPS28;MRPS26;MRPS24;MRPS25;MRPS22;MRPS23;MRPL49;MRPS18A;MRPS2;MRPS21;MRPL47;MRPL48;MRPL45;MRPS7;MRPL46;MRPS6;MRPL43;MRPS5;MRPL44;MRPS18C;OXA1L;MRPL50;MRPS9;MRPL51;AURKAIP1;MRRF;MTRF1L;DAP3;MRPS35;MRPS36;MRPL18;MRPS34;MRPL16;MRPS31;MRPL17;MRPL14;MRPL58;MRPL15;MRPS30;MRPL12;GSPT2;MRPL13;MRPL57;MRPL10;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;PTCD3;MRPL27;MRPL28;ERAL1;MRPL21;MRPL22;MRPL30"
"cellular amino acid catabolic process (GO:0009063)","74/90",1.95108837562301e-09,8.3701691314227e-07,0,0,4.29438686555599,86.1234067293734,"MTRR;HIBADH;GLDC;ABAT;HNMT;GCSH;HYKK;AUH;KYNU;DBT;NOS1;GLUL;SLC25A44;AASS;HIBCH;ACAD8;BCKDHA;MCCC2;HGD;ARG1;PHYKPL;BCKDHB;MCCC1;AMT;PIPOX;HOGA1;KMO;ALDH5A1;DDAH1;IVD;BCAT1;IDO2;ALDH7A1;ASPA;DLD;BCAT2;GCDH;ECHS1;GLS2;SHMT2;HAAO;HDC;SHMT1;DLST;HSD17B10;DDO;ACAT1;ACMSD;HMGCL;CBS;CARNS1;SLC25A21;CRYM;PRODH;GOT1;NOS2;AADAT;NOS3;GAD1;GOT2;FAH;ACADSB;ALDH4A1;BCKDK;GSTZ1;QDPR;GLUD1;ALDH6A1;HAL;DAO;UROC1;OGDH;SARDH;KYAT1"
"extracellular matrix organization (GO:0030198)","206/300",2.52609855162164e-09,1.00004983294622e-06,0,0,2.04441531113264,40.4724512930535,"APP;SPARC;COL12A1;SERPINE1;SCX;DMP1;ICAM1;CAPNS1;BSG;DAG1;KDR;CYP1B1;COL23A1;SERPINF2;P3H2;P3H1;P3H4;HSPG2;COL8A2;COL8A1;PDGFB;PDGFA;ADAMTS12;ADAMTS10;ADAMTS16;FLRT2;ADAMTS18;ADAMTS17;SERPINH1;GPM6B;FN1;COL1A1;COL1A2;COL9A2;DDR1;COL18A1;ECM2;ELN;CTSS;ADAMTSL1;MMP25;MMP24;ADAMTSL5;MMP27;SH3PXD2A;ADAMTSL4;CTSL;ADAMTSL3;CTSK;SH3PXD2B;TIMP2;COL10A1;QSOX1;TIMP1;BGN;MMP10;MMP12;MMP11;MMP14;MMP15;MMP17;PXDN;MMP19;CD47;GAS6;CD44;DDR2;TMPRSS6;COL11A1;CAPG;SPP1;HAS2;JAM2;GSN;DSPP;SMOC2;COL3A1;SMOC1;AGRN;COL16A1;ITGA2B;LOXL3;TNC;LOXL4;PLOD3;PLOD1;FGF2;LOXL1;LOXL2;IBSP;CAPN2;SLC39A8;CAPN1;POSTN;COL27A1;ADAM10;NPNT;ADAM19;COL4A2;LOX;COL4A1;COL4A4;ADAM12;COL4A3;COL4A6;ADAM8;COL17A1;FBN2;CD151;DPT;NID1;FBLN5;VTN;SCUBE1;COL28A1;CRTAP;TGFB1;VCAM1;BMP1;COL5A1;P4HA1;P4HA2;COL5A3;ITGA10;P4HA3;COL5A2;ITGA11;COL20A1;TGFBI;FBN1;ITGB1;COLGALT2;ITGAM;ITGB5;COL14A1;ITGB4;LAMC3;ITGB3;ITGB2;LAMC2;ITGAE;LAMC1;ITGAL;HAPLN1;ADAMTS4;ADAMTS5;ADAMTS2;ADAMTS1;FLOT1;ITGAX;ITGB8;ITGAV;ITGB7;MADCAM1;ITGB6;ADAMTS8;ADAMTS9;COLGALT1;ADAMTS7;FGB;FGA;MMP7;DST;ITGA4;COL25A1;ITGA3;ITGA2;MMP2;FGG;ITGA1;MMP3;MMP8;MMP9;DCN;TGFBR1;GREM1;VCAN;ITGAD;COL6A2;COL6A1;GFOD2;COL6A3;ITGA7;ITGA5;LCP1;ITGA9;PLEC;LAMA5;COL15A1;LAMA2;LAMA1;LAMA4;LAMA3;FURIN;PLG;THBS1;THSD4;SPOCK2;COL26A1;LAMB3;LUM;LAMB1;MFAP5;COL7A1;MFAP2;P4HB"
"fatty acid catabolic process (GO:0009062)","60/70",2.66413541910416e-09,1.00004983294622e-06,0,0,5.56703424260012,109.9121073329,"ABCD4;PECR;ABCD2;ACADVL;FAAH;ABCD3;ACAA2;ECI1;ECI2;CROT;MCEE;ACADL;AUH;CPT2;SCP2;NUDT19;ACADM;MMUT;ACAD11;HADH;ACAD10;ACADS;ACOT8;PHYH;MECR;ALDH3A2;HADHB;PLA2G15;HADHA;BDH2;SLC25A17;PCCA;ACOX1;ILVBL;EHHADH;PCCB;ADTRP;SLC27A2;PPARD;SLC27A4;ECHS1;ABHD3;ABHD1;HSD17B4;HSD17B10;MTLN;ACAT2;ACAT1;HACL1;HAO2;DECR1;ACBD5;MMAA;AIG1;MCAT;PEX13;NUDT7;ECHDC1;ECHDC2;LPIN1"
"positive regulation of endothelial cell migration (GO:0010595)","71/86",2.92874582228252e-09,1.03470867109581e-06,0,0,4.39415770956393,86.3394494685175,"SEMA5A;NRP1;SCARB1;CD40;NRP2;SPARC;FLT4;ITGB3;HSPB1;PIK3CD;EMC10;PIK3CB;FGF1;ETS1;FGF2;PIK3CG;TMSB4X;AKT3;ZC3H12A;KDR;AKT1;MAP2K3;BCAS3;EDN1;ANXA3;PDPK1;WNT5A;PRKCA;PROX1;SIRT1;FOXP1;RHOB;ADAM17;ITGB1BP1;PRKD2;PRKD1;RIN2;GPLD1;FOXC2;GRN;ROCK2;PDGFB;GATA2;FUT1;HIF1A;THBS1;ATP5F1A;ATP5F1B;RRAS;ATOH8;ABL1;PTK2B;AAMP;SASH1;STAT5A;ANGPT4;NUS1;TGFB1;EGF;NOS3;MAPK14;AGT;VEGFA;BMP4;SMOC2;P2RX4;SP1;FGF18;TEK;FGFR1;LGMN"
"fatty acid beta-oxidation (GO:0006635)","47/52",3.18488852568031e-09,1.06269113806866e-06,0,0,8.71527388658101,170.513013648096,"ABCD4;GCDH;ABCD2;ACADVL;ABCD3;ACAA2;ECHS1;ECI1;ECI2;ETFDH;HSD17B4;ETFA;CROT;ETFB;HSD17B10;MTLN;ACAT2;ACAT1;ACADL;AUH;CPT2;SCP2;ACADM;ACAD11;HADH;DECR2;ACAD10;ACADS;DECR1;ACOT8;MECR;MCAT;HADHB;HADHA;BDH2;SLC25A17;AMACR;ACOX2;ACOX1;EHHADH;IVD;ECHDC1;ECHDC2;ACOX3;SLC27A2;CRAT;PPARD"
"cell-matrix adhesion (GO:0007160)","80/100",5.33288721686871e-09,1.68575371707966e-06,0,0,3.71467338631518,70.7621991086077,"DDR1;ITGB1;ECM2;ITGB5;ITGB4;ITGB3;ITGB2;TESK2;ILK;PTPRK;ITGAL;MSLN;PKD1;SGCE;PPFIA1;ITGB8;EMILIN1;ITGAV;ITGB7;MADCAM1;ITGB6;ADAMTS9;CD34;TMEM8B;FGB;CD96;FGA;ACTN3;ITGA4;ITGA3;ACTN1;ITGA2;FGG;ITGA1;TSC1;EMP2;NPNT;RHOD;BCR;TIAM1;BCAM;CTTN;PEAK1;ANGPTL3;ITGA7;ITGB1BP1;VWA2;ARHGEF7;VCL;CD44;COL17A1;CD63;SRC;LYPD3;THY1;ADAMTS12;LYPD5;THSD1;FBLN5;THBS3;VTN;OTOA;PIP5K1A;VCAM1;RCC2;FN1;LYVE1;TIMM10B;FERMT1;MKLN1;COL3A1;PARVG;ITGA10;ITGA11;TRIP6;ZYX;ITGBL1;HPSE;SIGLEC1;FERMT3"
"transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)","266/404",8.79838318657899e-09,2.64215447092967e-06,0,0,1.80045429318503,33.396082697082,"CYFIP2;EPHB6;CYFIP1;ITSN1;FGFRL1;ACTB;UBASH3B;NAMPT;STMN1;KDR;AKT1;ATP6V1E1;EPHB4;PDK2;ANKS1B;EPHB3;ATP6V1G1;EPHA7;RBFOX2;FRS3;TIAM1;DDIT4;TYRO3;PRKD2;PRKD1;ATP6V0D1;EPHA1;ATP6V0D2;GPLD1;NGEF;EPHA3;EPHA2;GRB7;SDC2;SH2D2A;HPN;PDGFB;PDGFA;PIK3R3;PIK3R1;APH1A;FLRT2;PDGFD;FLRT1;ATP6V0A2;NCKAP1L;ATP6V0A4;ATP6V1C1;ATP6V0A1;ATP6V1C2;LYN;NGFR;NUS1;INSR;IGF2;IGF1;GRIN2B;NFATC4;COL1A1;SETX;HNRNPF;GRB2;DDR1;NRP1;NRP2;ARPC1B;ARPC1A;PTPRJ;WASL;SHB;CD3E;AP2A2;SIPA1L1;AP3S1;HRAS;GIT1;APPL1;VAV3;FGFBP1;ATP6V0B;SYK;INSRR;GAB1;SLC39A14;GFRA2;SIRT2;MTSS1;RHOA;VAV1;HCK;HNRNPH1;KIT;RAPGEF1;HAP1;PLCB1;ARHGEF7;ATP6V0C;RHOQ;DDR2;FOXC2;NEDD9;PAK1;CHN1;NTF3;ATP6V0E2;ATP6V1G3;PAK3;PAK2;MPZL1;GDF15;SORT1;STAT3;VEGFB;VEGFD;AP2B1;SULF1;SULF2;VEGFA;AXL;ABI1;FRK;CDK5R1;CSF1;NCF1;IRS1;NCF2;NCF4;SLA;PLAT;FGF1;FGF2;FGF7;FGF9;GRB14;GRB10;ROS1;PDGFRB;PDGFRA;HGF;CYBB;LMTK2;TSC2;CYBA;GTF2F1;GTF2F2;PRLR;PGF;MAPKAPK3;COL4A2;MAPKAPK2;COL4A6;ELMO1;ELMO2;PHIP;ROR1;ROR2;BLK;SHC4;ATP6V1A;SHC2;SHC1;ARHGEF28;FOXO4;PSEN1;EFNA5;EFNA4;FOXO1;RASGRP4;SOCS2;EFNB2;EFNB1;SDCBP;ATP6V1H;ATP6V1D;ATP6V1F;KL;TIA1;BDNF;TNK2;RARRES2;ARPC4;ARPC5;FER;EFNA2;NR4A3;ARPC2;ARPC3;FES;FGF18;CASS4;FGFR4;FGFR3;FGFR2;FGFR1;ALK;BCAR3;TRIM71;GSK3A;FLT1;FLT3;FLT4;ITGB3;PIK3CB;TCIRG1;GHR;SPRED2;SPRED1;CASP3;NCK2;BDKRB2;BLNK;ITGAV;NCK1;ACTR3;ACTR2;ATP6AP1;MMP2;NRG1;NGF;MMP9;FGR;ZAP70;ESRP2;LCK;RASA1;ATP6V1B2;LCP2;POLR1G;SOS1;ATP6V1B1;LTK;ROCK2;SRC;MVP;CBL;CDC42;EFS;POLR2A;ERBB3;ERBB4;POLR2C;POLR2F;PTK2B;FYN;POLR2H;HNRNPA1;POLR2I;AAMP;WASF2;SH2B2;POLR2L;NTRK1;NTRK2;GALNT3;NTRK3;STYK1;BAIAP2;MERTK;MAPK14;SHCBP1;MAPK11;CD4;RAB14;CD7;TEK;PTPN2"
"extracellular structure organization (GO:0043062)","153/216",1.0863577352424e-08,2.79413360892635e-06,0,0,2.26121452973576,41.4658132493861,"APP;SPARC;COL16A1;SERPINE1;ITGA2B;TNC;DMP1;FGF2;LOXL1;ICAM1;IBSP;BSG;DAG1;KDR;SLC39A8;POSTN;COL27A1;COL23A1;NPNT;HSPG2;ADAM19;COL4A2;LOX;COL4A1;COL4A4;ADAM12;COL4A3;COL8A2;COL4A6;COL8A1;COL17A1;FBN2;PDGFB;PDGFA;ADAMTS12;NID1;ADAMTS10;FBLN5;ADAMTS16;VTN;ADAMTS18;ADAMTS17;COL28A1;VCAM1;FN1;COL1A1;COL1A2;COL5A1;COL5A3;ITGA10;COL5A2;ITGA11;COL9A2;TGFBI;FBN1;DDR1;ITGB1;COL18A1;ECM2;ITGAM;ITGB5;COL14A1;ITGB4;LAMC3;ELN;ITGB3;ITGB2;LAMC2;ITGAE;LAMC1;ITGAL;HAPLN1;ADAMTSL1;ADAMTS4;ADAMTS5;MMP25;ADAMTS2;MMP24;ADAMTSL5;MMP27;SH3PXD2A;ADAMTSL4;ADAMTS1;ADAMTSL3;ITGAX;COL10A1;ITGB8;ITGAV;ITGB7;MADCAM1;ITGB6;ADAMTS8;ADAMTS9;ADAMTS7;FGB;FGA;MMP7;ITGA4;ITGA3;ITGA2;MMP2;FGG;ITGA1;MMP3;BGN;MMP8;MMP9;MMP10;DCN;TGFBR1;MMP12;MMP11;MMP14;VCAN;ITGAD;MMP15;COL6A2;MMP17;PXDN;COL6A1;GFOD2;MMP19;COL6A3;ITGA7;CD47;ITGA5;CD44;DDR2;ITGA9;LAMA5;COL15A1;LAMA2;LAMA1;COL11A1;LAMA4;LAMA3;FURIN;THBS1;THSD4;SPOCK2;SPP1;JAM2;LAMB3;LUM;LAMB1;DSPP;MFAP5;SMOC2;COL3A1;SMOC1;COL7A1;MFAP2;AGRN"
"cristae formation (GO:0042407)","28/28",1.0916798901294e-08,2.79413360892635e-06,0,0,268856,4928927.11390818,"ATP5MC2;ATP5MC3;MICOS13;SPG7;ATP5MC1;APOO;ATP5F1A;ATP5F1B;CHCHD3;SAMM50;CHCHD6;ATP5MG;ATP5MF;ATP5ME;DMAC2L;ATP5PF;ATP5PD;APOOL;UQCC3;ATP5PB;DNAJC11;IMMT;ATP5F1C;ATP5F1D;ATP5F1E;LETM1;AFG3L2;ATP5PO"
"cellular respiration (GO:0045333)","39/42",1.11653690666387e-08,2.79413360892635e-06,0,0,12.0462399845545,220.572061632439,"UQCRB;COX15;COX4I2;ETFDH;ETFA;ETFB;MTFR1L;UQCR10;MTLN;UQCRH;BLOC1S1;ETFRF1;UQCRFS1;ME3;PPARGC1A;COX10;SURF1;NDUFA5;MDH2;SDHC;SDHA;ATP5F1D;COQ10B;SDHB;COQ10A;SIRT3;OXA1L;NDUFS8;NR4A3;NDUFS7;NDUFS4;UQCRC1;CYCS;MTFR1;NDUFS1;SDHAF4;MTFR2;UQCRC2;SLC25A13"
"mitochondrial gene expression (GO:0140053)","39/42",1.11653690666387e-08,2.79413360892635e-06,0,0,12.0462399845545,220.572061632439,"MRPS15;MRPS16;FASTKD2;GFM2;MRPS14;MRPS11;MRPS12;MRPS34;MRPL16;FOXO3;MRPL12;MRPL57;MRPL2;IARS2;TEFM;MRPS28;PTCD3;RARS2;HARS1;NDUFA7;MRPS24;TWNK;GATC;GATB;MRPS18A;MRPS2;MRPS21;MRPL47;TFB2M;MRPS7;POLRMT;QRSL1;MRPS6;LARS2;MRPL51;NOA1;FASTKD5;TFAM;SLC25A33"
